index,question,elapsed_time_sec
0,분갈이는 언제 해야 하나요?,4.3521
1,분갈이를 왜 해야 하나요?,12.8304
2,분갈이할 때 흙은 어떻게 선택하나요?,11.9916
3,분갈이 주기는 어느 정도인가요?,10.3142
4,분갈이 후에 물은 어떻게 줘야 하나요?,6.7898
5,분갈이 후 잎이 시들어요. 왜 그런가요?,2.7681
6,분갈이할 때 뿌리는 잘라야 하나요?,13.8096
7,분갈이 후 비료를 줘도 되나요?,6.8071
8,작은 화분에서 큰 화분으로 옮겨도 되나요?,7.4736
9,분갈이에 적합한 시간대는 언제인가요?,2.4267
10,식물에 물은 얼마나 자주 줘야 하나요?,12.8482
11,과습의 징후는 무엇인가요?,11.5617
12,겨울철 물주기 방법은?,13.7191
13,물을 너무 많이 주면 안 되나요?,5.4266
14,물은 어떤 온도로 줘야 하나요?,3.9674
15,아침 물주기와 저녁 물주기 중 어떤 게 좋나요?,6.7493
16,분무기로 잎에 물을 뿌려도 되나요?,6.1084
17,흙이 항상 젖어 있어야 하나요?,13.6478
18,건조한 실내에서 어떻게 물 관리를 하나요?,4.9492
19,식물마다 물 주는 주기가 다른가요?,3.792
20,고추를 잘 키우려면 어떤 조건이 필요한가요?,5.9223
21,상추는 어떤 토양에서 잘 자라나요?,9.4203
22,대파는 햇빛이 꼭 필요한가요?,2.1468
23,허브 식물은 어떤 환경에서 키우나요?,11.9325
24,식물에 필요한 비료는 어떤 종류가 있나요?,13.5801
25,기온 변화에 민감한 식물은?,13.6005
26,식물 재배에 적절한 습도는?,1.3468
27,물을 좋아하는 식물의 예는?,13.0742
28,반그늘을 좋아하는 식물은?,13.6511
29,햇빛을 너무 많이 받으면 어떻게 되나요?,8.4568
30,실내에서 고추를 기를 수 있나요?,8.7445
31,상추는 실내에서도 재배할 수 있나요?,1.6053
32,대파는 어떻게 실내에서 기르나요?,10.9269
33,실내 작물의 해충 문제는 어떻게 해결하나요?,1.4412
34,실내 작물에 필요한 조명의 종류는?,3.8822
35,상추 재배 시 주의할 점은?,3.1459
36,고추는 꽃이 피고 열매가 맺히기까지 얼마나 걸리나요?,3.0896
37,상추는 수확 후 다시 자라나요?,2.0016
38,대파를 물로만 키우면 영양은 어떻게 공급하나요?,2.7626
39,실내 작물의 흙은 어떤 걸 사용하나요?,5.814
40,산세베리아는 어떤 환경에서 잘 자라나요?,2.5593
41,스킨답서스는 초보자에게 적합한가요?,1.3073
42,금전수는 물을 얼마나 자주 줘야 하나요?,1.1212
43,고무나무는 어디에 두면 좋나요?,9.687
44,관엽식물에겐 어떤 비료를 사용하나요?,13.6099
45,산세베리아는 공기정화 효과가 있나요?,2.4472
46,고무나무 잎에 먼지가 쌓이면 어떻게 하나요?,8.8858
47,스킨답서스를 물꽂이로 키울 수 있나요?,3.2614
48,금전수는 빛이 없어도 자라나요?,3.5163
49,관엽식물은 겨울철에 어떻게 관리하나요?,8.4857
