index,question,elapsed_time_sec
0,분갈이는 언제 해야 하나요?,42.6523
1,분갈이를 왜 해야 하나요?,42.4818
2,분갈이할 때 흙은 어떻게 선택하나요?,42.8437
3,분갈이 주기는 어느 정도인가요?,42.4497
4,분갈이 후에 물은 어떻게 줘야 하나요?,42.4741
5,분갈이 후 잎이 시들어요. 왜 그런가요?,41.7079
6,분갈이할 때 뿌리는 잘라야 하나요?,41.6932
7,분갈이 후 비료를 줘도 되나요?,41.8361
8,작은 화분에서 큰 화분으로 옮겨도 되나요?,41.522
9,분갈이에 적합한 시간대는 언제인가요?,41.7229
10,식물에 물은 얼마나 자주 줘야 하나요?,41.6493
11,과습의 징후는 무엇인가요?,41.7743
12,겨울철 물주기 방법은?,41.7167
13,물을 너무 많이 주면 안 되나요?,41.6937
14,물은 어떤 온도로 줘야 하나요?,41.6902
15,아침 물주기와 저녁 물주기 중 어떤 게 좋나요?,41.6334
16,분무기로 잎에 물을 뿌려도 되나요?,41.7481
17,흙이 항상 젖어 있어야 하나요?,41.8197
18,건조한 실내에서 어떻게 물 관리를 하나요?,41.8872
19,식물마다 물 주는 주기가 다른가요?,41.8059
20,고추를 잘 키우려면 어떤 조건이 필요한가요?,41.8596
21,상추는 어떤 토양에서 잘 자라나요?,41.7041
22,대파는 햇빛이 꼭 필요한가요?,41.9097
23,허브 식물은 어떤 환경에서 키우나요?,41.7881
24,식물에 필요한 비료는 어떤 종류가 있나요?,41.682
25,기온 변화에 민감한 식물은?,41.9213
26,식물 재배에 적절한 습도는?,41.8895
27,물을 좋아하는 식물의 예는?,41.7317
28,반그늘을 좋아하는 식물은?,41.7363
29,햇빛을 너무 많이 받으면 어떻게 되나요?,41.6514
30,실내에서 고추를 기를 수 있나요?,41.6871
31,상추는 실내에서도 재배할 수 있나요?,41.7689
32,대파는 어떻게 실내에서 기르나요?,41.7315
33,실내 작물의 해충 문제는 어떻게 해결하나요?,41.6766
34,실내 작물에 필요한 조명의 종류는?,41.6329
35,상추 재배 시 주의할 점은?,41.5863
36,고추는 꽃이 피고 열매가 맺히기까지 얼마나 걸리나요?,42.5463
37,상추는 수확 후 다시 자라나요?,42.4231
38,대파를 물로만 키우면 영양은 어떻게 공급하나요?,42.4694
39,실내 작물의 흙은 어떤 걸 사용하나요?,42.8777
40,산세베리아는 어떤 환경에서 잘 자라나요?,42.6047
41,스킨답서스는 초보자에게 적합한가요?,42.5739
42,금전수는 물을 얼마나 자주 줘야 하나요?,42.6122
43,고무나무는 어디에 두면 좋나요?,42.7955
44,관엽식물에겐 어떤 비료를 사용하나요?,42.4503
45,산세베리아는 공기정화 효과가 있나요?,42.8663
46,고무나무 잎에 먼지가 쌓이면 어떻게 하나요?,42.6457
47,스킨답서스를 물꽂이로 키울 수 있나요?,42.6816
48,금전수는 빛이 없어도 자라나요?,42.7421
49,관엽식물은 겨울철에 어떻게 관리하나요?,42.6437
